08/24/25 - 01:03:52.068942 [trace] 	var pos_fClockPos: Object
08/24/25 - 01:03:52.068948 [trace] 	var CompassRect: DisplayObject
08/24/25 - 01:03:52.068953 [trace] 	var pos_fShoutLetterPos: Object
08/24/25 - 01:03:52.068958 [trace] 	var scl_fStealthMeter: Number
08/24/25 - 01:03:52.068963 [trace] 	var cfg_bLockEnemyHealth: Number
08/24/25 - 01:03:52.068969 [trace] 	var CompassMarkerUndiscovered: Number
08/24/25 - 01:03:52.068974 [trace] 	var shConfigWarning: DisplayObject
08/24/25 - 01:03:52.068979 [trace] 	var StaminaMeter: Object
08/24/25 - 01:03:52.068984 [trace] 	var pos_fLevelUpMeterPos: Object
08/24/25 - 01:03:52.068990 [trace] 	var MagickaMeter: Object
08/24/25 - 01:03:52.068995 [trace] 	var ShoutWarningAlt: DisplayObject
08/24/25 - 01:03:52.069001 [trace] 	var CrosshairAlert: DisplayObject
08/24/25 - 01:03:52.069006 [trace] 	var HealthPenaltyMeterA: DisplayObject
08/24/25 - 01:03:52.069012 [trace] 	var pos_fActivateInfoPos: Object
08/24/25 - 01:03:52.069017 [trace] 	var CompassZeroX: Number
08/24/25 - 01:03:52.069023 [trace] 	var HealthMeterLeftAlt: Object
08/24/25 - 01:03:52.069029 [trace] 	var CompassMarkerQuest: Number
08/24/25 - 01:03:52.069034 [trace] 	var TemperatureMeter_mc: DisplayObject
08/24/25 - 01:03:52.069040 [trace] 	var cfg_bLockClock: Number
08/24/25 - 01:03:52.069045 [trace] 	var cfg_bAltArrow: Number
08/24/25 - 01:03:52.069050 [trace] 	var TutorialHintsArtHolder: DisplayObject
08/24/25 - 01:03:52.069055 [trace] 	var StaminaBarAlt: DisplayObject
08/24/25 - 01:03:52.069061 [trace] 	var RolloverInfoText: DisplayObject
08/24/25 - 01:03:52.069066 [trace] 	var FavorBackButton_mc: DisplayObject
08/24/25 - 01:03:52.069071 [trace] 	var EnemyHealthMeter: Object
08/24/25 - 01:03:52.069077 [trace] 	var pos_fArrowInfoPos: Object
08/24/25 - 01:03:52.069082 [trace] 	var RightChargeMeterAlt: Object
08/24/25 - 01:03:52.069087 [trace] 	var pos_fObjectiveTextPos: Object
