08/24/25 - 01:29:35.256359 [trace] 	var MarkerClips: DisplayObject
08/24/25 - 01:29:35.256363 [trace] 	var markerDescriptionHolder: DisplayObject
08/24/25 - 01:29:35.256368 [trace] 	var LocationTextClip: DisplayObject
08/24/25 - 01:29:35.256372 [trace] 	var IconDisplayExtension: DisplayObject
08/24/25 - 01:29:35.256376 [trace] 	var _mapImageLoader: Object
08/24/25 - 01:29:35.256381 [trace] 	var TextureHolder: DisplayObject
08/24/25 - 01:29:35.256385 [trace] 	var IconDisplay: Object
08/24/25 - 01:29:35.256389 [trace] 	var _locationFinder: DisplayObject
08/24/25 - 01:29:35.256394 [trace] 	var _bottomBar: DisplayObject
08/24/25 - 01:29:35.256398 [trace] 	var ClearedDescription: DisplayObject
08/24/25 - 01:29:35.256402 [trace] 	var LocationDescription: DisplayObject
08/24/25 - 01:29:35.256407 [trace] }
08/24/25 - 01:29:35.256412 [trace] _level0.localMapFader.MapClip.IconDisplayExtension: DisplayObject
08/24/25 - 01:29:35.256416 [trace] {
08/24/25 - 01:29:35.256421 [trace] 	var extraMarkerContainer: DisplayObject
08/24/25 - 01:29:35.256425 [trace] 	var CREATE_STRIDE: Number
08/24/25 - 01:29:35.256429 [trace] 	var CREATE_ICONTYPE: Number
08/24/25 - 01:29:35.256433 [trace] 	var extraMarkers: Array
08/24/25 - 01:29:35.256438 [trace] }
08/24/25 - 01:29:35.256442 [trace] 
08/24/25 - 01:29:35.256523 [info] Patches loaded for Interface/Map.swf: 1
08/24/25 - 01:29:35.256527 [debug] 
08/24/25 - 01:29:35.258766 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:29:35.258810 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:29:35.258816 [debug] 
08/24/25 - 01:29:36.026406 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:29:36.026484 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:29:36.026491 [debug] 
08/24/25 - 01:30:22.320452 [trace] Detected MessageBox movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:30:22.320512 [debug] Patches loaded for Interface/MessageBox.swf: 0
08/24/25 - 01:30:22.320517 [debug] 
08/24/25 - 01:30:22.323978 [trace] Detected DurabilityMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:30:22.324032 [debug] Patches loaded for Interface/DurabilityMenu.swf: 0
08/24/25 - 01:30:22.324038 [debug] 
08/24/25 - 01:30:22.557756 [trace] Detected MessageBox movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:30:22.557823 [debug] Patches loaded for Interface/MessageBox.swf: 0
08/24/25 - 01:30:22.557829 [debug] 
08/24/25 - 01:31:14.087260 [trace] Detected TweenMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:31:14.087344 [debug] Patches loaded for Interface/TweenMenu.swf: 0
08/24/25 - 01:31:14.087352 [debug] 
08/24/25 - 01:31:14.089587 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:31:14.089638 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:31:14.089648 [debug] 
08/24/25 - 01:31:14.857636 [trace] Detected InventoryMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:31:14.857693 [debug] Patches loaded for Interface/InventoryMenu.swf: 0
08/24/25 - 01:31:14.857698 [debug] 
08/24/25 - 01:31:14.871419 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:31:14.871466 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:31:14.871472 [debug] 
08/24/25 - 01:31:14.873766 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:31:14.873807 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:31:14.873812 [debug] 
08/24/25 - 01:32:16.010710 [trace] Detected Quest_Journal movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:32:16.010766 [debug] Patches loaded for Interface/Quest_Journal.swf: 0
08/24/25 - 01:32:16.010772 [debug] 
08/24/25 - 01:32:16.014422 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:32:16.014477 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:32:16.014483 [debug] 
08/24/25 - 01:32:23.763003 [trace] Detected Quest_Journal movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:32:23.763061 [debug] Patches loaded for Interface/Quest_Journal.swf: 0
08/24/25 - 01:32:23.763066 [debug] 
08/24/25 - 01:32:23.766290 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:32:23.766336 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:32:23.766342 [debug] 
08/24/25 - 01:32:27.159785 [trace] Detected Quest_Journal movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:32:27.159847 [debug] Patches loaded for Interface/Quest_Journal.swf: 0
08/24/25 - 01:32:27.159854 [debug] 
08/24/25 - 01:32:27.163080 [trace] Detected CursorMenu movie load from: D:\STOCK GAME\Data\Interface
08/24/25 - 01:32:27.163129 [debug] Patches loaded for Interface/CursorMenu.swf: 0
08/24/25 - 01:32:27.163134 [debug] 
