[2025-08-17 22:03:57.019] [Global] [info] [43812] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBSHandleRefObject@@
[2025-08-17 22:03:57.018] [Global] [info] [42040] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedureFollowExecState*)	.?AVBGSProcedureFollowExecState@@
[2025-08-17 22:03:57.019] [Global] [info] [43048] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActor@@
[2025-08-17 22:03:57.019] [Global] [info] [43560] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedureFollowExecState*)	.?AV?$BGSTypedItem@VBGSProcedureFollowExecState@@VIProcedureTreeExecState@@@@
[2025-08-17 22:03:57.019] [Global] [info] [43560] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedureFollowExecState*)	.?AVIProcedureTreeExecState@@
[2025-08-17 22:03:57.019] [Global] [info] [35960] [Introspection.cpp:1572] Found unhandled type:	(TESPackage*)	.?AVBaseFormComponent@@
[2025-08-17 22:03:57.019] [Global] [info] [39312] [Introspection.cpp:1572] Found unhandled type:	(BGSVisitProceduresProcess*)	.?AVIVisitProcedures@@
[2025-08-17 22:03:57.018] [Global] [info] [43192] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActor@@
[2025-08-17 22:03:57.019] [Global] [info] [43812] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVNiRefObject@@
[2025-08-17 22:03:57.019] [Global] [info] [35960] [Introspection.cpp:1572] Found unhandled type:	(TESPackage*)	.?AVTESPackage@@
[2025-08-17 22:03:57.018] [Global] [info] [43164] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActor@@
[2025-08-17 22:03:57.019] [Global] [info] [41836] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedureFollowExecState*)	.?AV?$BGSTypedItem@VBGSProcedureFollowExecState@@VIProcedureTreeExecState@@@@
[2025-08-17 22:03:57.018] [Global] [info] [41932] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataRef*)	.?AV?$BGSPackageDataPointerTemplate@VIAITarget@@VPackageTarget@@$1?kPackageDataRef2TypeName@@3VBSFixedString@@B@@
[2025-08-17 22:03:57.019] [Global] [info] [43032] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedurePursue*)	.?AV?$BGSProcedureTyped@VBGSProcedureBase@@$1?kProcedurePursueParamTypes@@3QBUBGSProcedureParamInfo@@B@@
[2025-08-17 22:03:57.019] [Global] [info] [39452] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedureFollowExecState*)	.?AVBGSProcedureFollowExecState@@
[2025-08-17 22:03:57.019] [Global] [info] [41556] [Introspection.cpp:1572] Found unhandled type:	(BGSVisitProceduresProcess*)	.?AVBGSVisitProceduresProcess@@
[2025-08-17 22:03:57.019] [Global] [info] [43560] [Introspection.cpp:1572] Found unhandled type:	(MovementPathManagerArbiter*)	.?AVMovementPathManagerArbiter@@
[2025-08-17 22:03:57.019] [Global] [info] [43560] [Introspection.cpp:1572] Found unhandled type:	(MovementPathManagerArbiter*)	.?AVMovementArbiter@@
[2025-08-17 22:03:57.019] [Global] [info] [43964] [Introspection.cpp:1572] Found unhandled type:	(TESPackage*)	.?AVTESPackage@@
[2025-08-17 22:03:57.019] [Global] [info] [39584] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBaseFormComponent@@
[2025-08-17 22:03:57.019] [Global] [info] [39584] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBSHandleRefObject@@
[2025-08-17 22:03:57.019] [Global] [info] [39584] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVNiRefObject@@
[2025-08-17 22:03:57.019] [Global] [info] [43812] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AV?$BSTEventSink@UBSAnimationGraphEvent@@@@
[2025-08-17 22:03:57.019] [Global] [info] [39584] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AV?$BSTEventSink@UBSAnimationGraphEvent@@@@
[2025-08-17 22:03:57.019] [Global] [info] [35512] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBaseFormComponent@@
[2025-08-17 22:03:57.019] [Global] [info] [42040] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedureFollowExecState*)	.?AV?$BGSTypedItem@VBGSProcedureFollowExecState@@VIProcedureTreeExecState@@@@
[2025-08-17 22:03:57.019] [Global] [info] [43192] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBaseFormComponent@@
[2025-08-17 22:03:57.018] [Global] [info] [40184] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedurePursue*)	.?AVBGSProcedurePursue@@
[2025-08-17 22:03:57.019] [Global] [info] [35512] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBSHandleRefObject@@
[2025-08-17 22:03:57.019] [Global] [info] [40948] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedureFollowExecState*)	.?AVBGSProcedureFollowExecState@@
[2025-08-17 22:03:57.019] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVMagicTarget@@
[2025-08-17 22:03:57.019] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActorValueOwner@@
[2025-08-17 22:03:57.019] [Global] [info] [43964] [Introspection.cpp:1572] Found unhandled type:	(TESPackage*)	.?AVBaseFormComponent@@
[2025-08-17 22:03:57.019] [Global] [info] [39312] [Introspection.cpp:1572] Found unhandled type:	(MovementControllerNPC*)	.?AVMovementControllerNPC@@
[2025-08-17 22:03:57.019] [Global] [info] [41444] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedureTreeProcedure*)	.?AV?$BGSTypedItem@VBGSProcedureTreeProcedure@@VBGSProcedureTreeConditionalItem@@@@
[2025-08-17 22:03:57.019] [Global] [info] [41932] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataRef*)	.?AV?$BGSNamedPackageData@VIAITarget@@@@
[2025-08-17 22:03:57.019] [Global] [info] [41932] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataRef*)	.?AVIAITarget@@
[2025-08-17 22:03:57.019] [Global] [info] [41932] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataRef*)	.?AVIPackageDataAIWorldLocationHandle@@
[2025-08-17 22:03:57.019] [Global] [info] [39452] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedureFollowExecState*)	.?AV?$BGSTypedItem@VBGSProcedureFollowExecState@@VIProcedureTreeExecState@@@@
[2025-08-17 22:03:57.019] [Global] [info] [43192] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBSHandleRefObject@@
[2025-08-17 22:03:57.019] [Global] [info] [43192] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVNiRefObject@@
[2025-08-17 22:03:57.019] [Global] [info] [40948] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedureFollowExecState*)	.?AV?$BGSTypedItem@VBGSProcedureFollowExecState@@VIProcedureTreeExecState@@@@
[2025-08-17 22:03:57.019] [Global] [info] [43192] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AV?$BSTEventSink@UBSAnimationGraphEvent@@@@
[2025-08-17 22:03:57.019] [Global] [info] [41836] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedureFollowExecState*)	.?AVIProcedureTreeExecState@@
[2025-08-17 22:03:57.019] [Global] [info] [35960] [Introspection.cpp:1572] Found unhandled type:	(TESPackage*)	.?AVBaseFormComponent@@
[2025-08-17 22:03:57.019] [Global] [info] [39312] [Introspection.cpp:1572] Found unhandled type:	(MovementControllerNPC*)	.?AVMovementControllerAI@@
[2025-08-17 22:03:57.019] [Global] [info] [37792] [Introspection.cpp:1572] Found unhandled type:	(TESPackage*)	.?AVTESPackage@@
[2025-08-17 22:03:57.019] [Global] [info] [37792] [Introspection.cpp:1572] Found unhandled type:	(TESPackage*)	.?AVBaseFormComponent@@
[2025-08-17 22:03:57.019] [Global] [info] [43032] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedurePursue*)	.?AVBGSProcedureBase@@
[2025-08-17 22:03:57.019] [Global] [info] [43032] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedurePursue*)	.?AVIProcedure@@
[2025-08-17 22:03:57.019] [Global] [info] [37792] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActor@@
[2025-08-17 22:03:57.019] [Global] [info] [32344] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActor@@
[2025-08-17 22:03:57.019] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActorState@@
[2025-08-17 22:03:57.019] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AUIMovementState@@
[2025-08-17 22:03:57.019] [Global] [info] [43964] [Introspection.cpp:1572] Found unhandled type:	(ThirdPersonState*)	.?AVThirdPersonState@@
[2025-08-17 22:03:57.019] [Global] [info] [36428] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AUIMovementInterface@@
[2025-08-17 22:03:57.019] [Global] [info] [39808] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVBaseFormComponent@@
[2025-08-17 22:03:57.019] [Global] [info] [42040] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedureFollowExecState*)	.?AVIProcedureTreeExecState@@
[2025-08-17 22:03:57.019] [Global] [info] [41932] [Introspection.cpp:1572] Found unhandled type:	(BGSPackageDataRef*)	.?AVIAIWorldLocationHandle@@
[2025-08-17 22:03:57.019] [Global] [info] [35960] [Introspection.cpp:1572] Found unhandled type:	(Character*)	.?AVActor@@
[2025-08-17 22:03:57.019] [Global] [info] [40184] [Introspection.cpp:1572] Found unhandled type:	(BGSProcedurePursue*)	.?AV?$BGSProcedureTyped@VBGSProcedureBase@@$1?kProcedurePursueParamTypes@@3QBUBGSProcedureParamInfo@@B@@
